Date,Flow
2016-01-01,27.7505
2016-01-02,23.418
2016-01-03,14.5832
2016-01-04,9.4012
2016-01-05,7.0792
2016-01-06,5.2103
2016-01-07,5.4935
2016-01-08,5.5218
2016-01-09,5.1253
2016-01-10,7.7588
2016-01-11,13.2806
2016-01-12,12.9974
2016-01-13,10.5055
2016-01-14,9.5144
2016-01-15,9.5144
2016-01-16,10.9303
2016-01-17,11.5816
2016-01-18,8.7782
2016-01-19,6.3713
2016-01-20,5.3802
2016-01-21,5.5218
2016-01-22,4.8139
2016-01-23,4.1059
2016-01-24,3.6812
2016-01-25,3.398
2016-01-26,3.5396
2016-01-27,3.5396
2016-01-28,3.398
2016-01-29,3.3414
2016-01-30,3.3414
2016-01-31,3.3697
2016-02-01,3.9644
2016-02-02,4.5307
2016-02-03,8.5234
2016-02-04,13.2806
2016-02-05,11.9214
2016-02-06,9.0047
2016-02-07,7.3341
2016-02-08,6.7394
2016-02-09,6.4845
2016-02-10,5.9465
2016-02-11,3.9644
2016-02-12,3.8228
2016-02-13,3.1148
2016-02-14,2.8317
2016-02-15,2.8883
2016-02-16,2.9733
2016-02-17,2.9166
2016-02-18,2.8883
2016-02-19,2.9166
2016-02-20,3.4263
2016-02-21,3.398
2016-02-22,3.1998
2016-02-23,3.1998
2016-02-24,3.5113
2016-02-25,6.4279
2016-02-26,6.796
2016-02-27,6.1447
2016-02-28,8.2685
2016-02-29,13.7053
2016-03-01,20.02
2016-03-02,22.6818
2016-03-03,22.1437
2016-03-04,19.1422
2016-03-05,15.6309
2016-03-06,13.9602
2016-03-07,14.6398
2016-03-08,17.4148
2016-03-09,19.2554
2016-03-10,18.6325
2016-03-11,16.7352
2016-03-12,14.6398
2016-03-13,13.9319
2016-03-14,19.7934
2016-03-15,22.8233
2016-03-16,22.5685
2016-03-17,18.3776
2016-03-18,13.3655
2016-03-19,10.2224
2016-03-20,8.4101
2016-03-21,7.3057
2016-03-22,6.5412
2016-03-23,5.9182
2016-03-24,7.4756
2016-03-25,22.4835
2016-03-26,25.8816
2016-03-27,26.1647
2016-03-28,28.8831
2016-03-29,29.4495
2016-03-30,27.7788
2016-03-31,25.2869
2016-04-01,28.6
2016-04-02,29.7326
2016-04-03,29.7326
2016-04-04,28.0619
2016-04-05,23.8711
2016-04-06,18.3493
2016-04-07,15.7158
2016-04-08,15.8291
2016-04-09,16.0273
2016-04-10,17.8679
2016-04-11,22.5119
2016-04-12,25.5418
2016-04-13,27.1841
2016-04-14,27.0142
2016-04-15,23.7578
2016-04-16,18.0378
2016-04-17,13.5354
2016-04-18,11.0152
2016-04-19,9.5144
2016-04-20,8.3818
2016-04-21,7.6455
2016-04-22,7.504
2016-04-23,7.7305
2016-04-24,8.5517
2016-04-25,7.9287
2016-04-26,8.4667
2016-04-27,11.3834
2016-04-28,12.9125
2016-04-29,12.4877
2016-04-30,10.902
2016-05-01,15.8008
2016-05-02,24.9471
2016-05-03,28.8831
2016-05-04,30.5821
2016-05-05,30.5821
2016-05-06,26.5612
2016-05-07,18.8307
2016-05-08,13.4505
2016-05-09,10.4489
2016-05-10,8.8348
2016-05-11,8.4667
2016-05-12,8.6649
2016-05-13,20.5863
2016-05-14,24.579
2016-05-15,24.579
2016-05-16,21.4075
2016-05-17,15.8574
2016-05-18,11.7232
2016-05-19,9.3445
2016-05-20,7.9853
2016-05-21,6.9376
2016-05-22,6.1164
2016-05-23,5.2669
2016-05-24,4.6156
2016-05-25,4.1059
2016-05-26,3.6812
2016-05-27,3.3697
2016-05-28,3.1148
2016-05-29,2.8317
2016-05-30,2.6051
2016-05-31,2.3616
2016-06-01,2.1294
2016-06-02,1.9567
2016-06-03,1.9652
2016-06-04,2.0756
2016-06-05,15.4043
2016-06-06,21.9172
2016-06-07,19.2837
2016-06-08,11.7798
2016-06-09,7.3057
2016-06-10,5.2386
2016-06-11,4.2758
2016-06-12,3.5396
2016-06-13,3.0016
2016-06-14,2.6363
2016-06-15,2.4607
2016-06-16,2.2427
2016-06-17,1.9397
2016-06-18,1.6792
2016-06-19,1.4725
2016-06-20,1.3592
2016-06-21,1.3252
2016-06-22,1.2714
2016-06-23,7.1925
2016-06-24,8.6366
2016-06-25,5.4935
2016-06-26,2.9166
