"date","flow_cms"
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,0
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,21.62
2016-01-09,6.599
2016-01-10,0.3004
2016-01-11,0.1825
2016-01-12,0
2016-01-13,0
2016-01-14,0
2016-01-15,22.38
2016-01-16,1.893
2016-01-17,0.2365
2016-01-18,0.004931
2016-01-19,0
2016-01-20,0.002624
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0.6111
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0.5455
2016-02-01,0
2016-02-02,22.01
2016-02-03,1.732
2016-02-04,0.1856
2016-02-05,0
2016-02-06,0
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
2016-02-13,0
2016-02-14,0
2016-02-15,0
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0.5932
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,6.668
2016-02-24,1.789
2016-02-25,0.05039
2016-02-26,0
2016-02-27,60.8
2016-02-28,8.196
2016-02-29,1.085
2016-03-01,1.097
2016-03-02,0.1239
2016-03-03,0.4221
2016-03-04,0.09433
2016-03-05,0.01191
2016-03-06,44.34
2016-03-07,4.191
2016-03-08,0.6264
2016-03-09,0.2238
2016-03-10,0.4472
2016-03-11,0
2016-03-12,1.704
2016-03-13,5.54
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,0
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,11.31
2016-03-25,0
2016-03-26,0
2016-03-27,8.299
2016-03-28,0
2016-03-29,0
2016-03-30,8.216
2016-03-31,4.965
2016-04-01,0
2016-04-02,0.3977
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,3.583
2016-04-07,0
2016-04-08,4.502
2016-04-09,0
2016-04-10,5.989
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,0
2016-04-17,0
2016-04-18,0
2016-04-19,0
2016-04-20,0
2016-04-21,3.077
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,6.708
2016-04-26,0
2016-04-27,1.351
2016-04-28,0.1962
2016-04-29,0
2016-04-30,7.405
2016-05-01,6.717
2016-05-02,0.1768
2016-05-03,0
2016-05-04,0.9756
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0.1341
2016-05-10,2.097
2016-05-11,0.1536
2016-05-12,11.56
2016-05-13,4.702
2016-05-14,0.3029
2016-05-15,0.08116
2016-05-16,0
2016-05-17,0.06335
2016-05-18,0
2016-05-19,0
2016-05-20,0
2016-05-21,0
2016-05-22,0
2016-05-23,0
2016-05-24,0
2016-05-25,0
2016-05-26,0
2016-05-27,0
2016-05-28,0
2016-05-29,0
2016-05-30,0
2016-05-31,0
2016-06-01,0
